rows,cols,total_cells,mines,density,trials,wins,win_rate,ci95,avg_steps,std_steps
20,20,400,40,0.1000,200,177,0.885000,0.044214,91.00,31.89
20,20,400,44,0.1100,200,168,0.840000,0.050809,104.75,37.68
20,20,400,48,0.1200,200,163,0.815000,0.053815,115.98,46.73
20,20,400,52,0.1300,200,157,0.785000,0.056937,127.44,55.83
20,20,400,56,0.1400,200,144,0.720000,0.062228,128.74,69.56
20,20,400,60,0.1500,200,127,0.635000,0.066723,134.54,81.03
20,20,400,64,0.1600,200,123,0.615000,0.067439,143.31,87.60
20,20,400,68,0.1700,200,110,0.550000,0.068949,148.54,95.20
20,20,400,72,0.1800,200,85,0.425000,0.068512,135.93,106.39
20,20,400,76,0.1900,200,67,0.335000,0.065415,129.59,112.50
20,20,400,80,0.2000,200,47,0.235000,0.058763,119.52,116.77
20,20,400,84,0.2100,200,28,0.140000,0.048090,105.39,116.01
20,20,400,88,0.2200,200,27,0.135000,0.047360,103.02,116.40
20,20,400,92,0.2300,200,13,0.065000,0.034167,87.32,107.78
20,20,400,96,0.2400,200,8,0.040000,0.027159,77.36,103.44
20,20,400,100,0.2500,200,5,0.025000,0.021638,57.74,91.06
20,20,400,104,0.2600,200,2,0.010000,0.013790,48.91,81.74
20,20,400,108,0.2700,200,0,0.000000,0.000000,33.55,60.06
20,20,400,112,0.2800,200,0,0.000000,0.000000,28.55,54.21
20,20,400,116,0.2900,200,0,0.000000,0.000000,21.48,38.20
20,20,400,120,0.3000,200,0,0.000000,0.000000,17.24,35.85
20,20,400,124,0.3100,200,0,0.000000,0.000000,14.41,34.03
20,20,400,128,0.3200,200,0,0.000000,0.000000,14.54,28.18
20,20,400,132,0.3300,200,0,0.000000,0.000000,10.46,19.53
20,20,400,136,0.3400,200,0,0.000000,0.000000,9.77,21.70
20,20,400,140,0.3500,200,0,0.000000,0.000000,7.64,17.99
25,25,625,62,0.0992,200,164,0.820000,0.053246,131.80,54.76
25,25,625,69,0.1104,200,164,0.820000,0.053246,160.78,60.91
25,25,625,75,0.1200,200,147,0.735000,0.061166,168.24,81.87
25,25,625,81,0.1296,200,125,0.625000,0.067096,176.21,99.05
25,25,625,88,0.1408,200,113,0.565000,0.068708,188.87,115.29
25,25,625,94,0.1504,200,95,0.475000,0.069210,199.37,125.27
25,25,625,100,0.1600,200,69,0.345000,0.065883,183.79,141.29
25,25,625,106,0.1696,200,48,0.240000,0.059191,173.86,152.12
25,25,625,113,0.1808,200,42,0.210000,0.056450,173.25,159.30
25,25,625,119,0.1904,200,19,0.095000,0.040638,134.95,157.67
25,25,625,125,0.2000,200,10,0.050000,0.030206,110.92,145.42
25,25,625,131,0.2096,200,5,0.025000,0.021638,97.38,133.42
25,25,625,138,0.2208,200,4,0.020000,0.019403,78.80,122.93
25,25,625,144,0.2304,200,2,0.010000,0.013790,62.39,106.33
25,25,625,150,0.2400,200,0,0.000000,0.000000,53.58,101.38
